Q1,129.63,57.88,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,74.38,56.25,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,73.29,35.16,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,19.26,53.06,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,11.06,116.49,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,113.53,63.08,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,151.50,20.30,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,83.08,82.72,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,110.57,51.21,270.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,72.62,29.84,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,153.20,20.36,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,92.48,78.44,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,153.06,59.46,0.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,153.04,61.00,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,120.44,57.55,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,76.44,27.39,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,76.78,31.44,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,29.24,58.20,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,41.16,37.92,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,37.36,37.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,33.36,37.86,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,68.26,56.08,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.92,125.92,180.00,BUTTON_CUSYOMV1,MYBUTTON
RX,13.75,79.42,0.00,TPTP20R,TP20R
R_BOOT,20.10,124.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,91.63,69.69,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.13,125.26,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,70.56,56.16,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,44.68,125.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SCK,3.67,93.42,0.00,TPTP20R,TP20R
SENSOR2,151.49,25.41,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,72.58,27.72,0.00,,SJ
TX,11.53,79.42,0.00,TPTP20R,TP20R
U1,36.80,66.88,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U10,122.18,62.05,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,16.06,66.27,90.10,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,80.42,74.74,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,132.24,64.12,0.00,MAX17048G+T10,SON50P200X200X80-9N
VBAT,141.17,66.62,0.00,TPTP20R,TP20R
VBUS,124.92,70.54,0.00,TPTP20R,TP20R
